Geography,geoid10,Geographic Area Name,med_hh_inc,dollars
1400000US17031081700,17031081700,"Census Tract 817, Cook County, Illinois",116719,"$116,719"
1400000US17031081800,17031081800,"Census Tract 818, Cook County, Illinois",159515,"$159,515"
1400000US17031081900,17031081900,"Census Tract 819, Cook County, Illinois",175833,"$175,833"
1400000US17031090100,17031090100,"Census Tract 901, Cook County, Illinois",115161,"$115,161"
1400000US17031090200,17031090200,"Census Tract 902, Cook County, Illinois",114385,"$114,385"
1400000US17031090300,17031090300,"Census Tract 903, Cook County, Illinois",103421,"$103,421"
1400000US17031100100,17031100100,"Census Tract 1001, Cook County, Illinois",100985,"$100,985"
1400000US17031100200,17031100200,"Census Tract 1002, Cook County, Illinois",101330,"$101,330"
1400000US17031100300,17031100300,"Census Tract 1003, Cook County, Illinois",75763,"$75,763"
1400000US17031100400,17031100400,"Census Tract 1004, Cook County, Illinois",127019,"$127,019"
1400000US17031100500,17031100500,"Census Tract 1005, Cook County, Illinois",92576,"$92,576"
1400000US17031100600,17031100600,"Census Tract 1006, Cook County, Illinois",68417,"$68,417"
1400000US17031100700,17031100700,"Census Tract 1007, Cook County, Illinois",107723,"$107,723"
1400000US17031110100,17031110100,"Census Tract 1101, Cook County, Illinois",88630,"$88,630"
1400000US17031110200,17031110200,"Census Tract 1102, Cook County, Illinois",68043,"$68,043"
1400000US17031110300,17031110300,"Census Tract 1103, Cook County, Illinois",101375,"$101,375"
1400000US17031110400,17031110400,"Census Tract 1104, Cook County, Illinois",73633,"$73,633"
1400000US17031110501,17031110501,"Census Tract 1105.01, Cook County, Illinois",95609,"$95,609"
1400000US17031110502,17031110502,"Census Tract 1105.02, Cook County, Illinois",63891,"$63,891"
1400000US17031120100,17031120100,"Census Tract 1201, Cook County, Illinois",148306,"$148,306"
1400000US17031120200,17031120200,"Census Tract 1202, Cook County, Illinois",129028,"$129,028"
1400000US17031120300,17031120300,"Census Tract 1203, Cook County, Illinois",136316,"$136,316"
1400000US17031120400,17031120400,"Census Tract 1204, Cook County, Illinois",112639,"$112,639"
1400000US17031130100,17031130100,"Census Tract 1301, Cook County, Illinois",50385,"$50,385"
1400000US17031130200,17031130200,"Census Tract 1302, Cook County, Illinois",97361,"$97,361"
1400000US17031130300,17031130300,"Census Tract 1303, Cook County, Illinois",61905,"$61,905"
1400000US17031140100,17031140100,"Census Tract 1401, Cook County, Illinois",65388,"$65,388"
1400000US17031140200,17031140200,"Census Tract 1402, Cook County, Illinois",63241,"$63,241"
1400000US17031140301,17031140301,"Census Tract 1403.01, Cook County, Illinois",63289,"$63,289"
1400000US17031140302,17031140302,"Census Tract 1403.02, Cook County, Illinois",66895,"$66,895"
1400000US17031140400,17031140400,"Census Tract 1404, Cook County, Illinois",87308,"$87,308"
1400000US17031140500,17031140500,"Census Tract 1405, Cook County, Illinois",77120,"$77,120"
1400000US17031140601,17031140601,"Census Tract 1406.01, Cook County, Illinois",77727,"$77,727"
1400000US17031140602,17031140602,"Census Tract 1406.02, Cook County, Illinois",54679,"$54,679"
1400000US17031140701,17031140701,"Census Tract 1407.01, Cook County, Illinois",79211,"$79,211"
1400000US17031140702,17031140702,"Census Tract 1407.02, Cook County, Illinois",61500,"$61,500"
1400000US17031140800,17031140800,"Census Tract 1408, Cook County, Illinois",88836,"$88,836"
1400000US17031150200,17031150200,"Census Tract 1502, Cook County, Illinois",77538,"$77,538"
1400000US17031150300,17031150300,"Census Tract 1503, Cook County, Illinois",77384,"$77,384"
1400000US17031150401,17031150401,"Census Tract 1504.01, Cook County, Illinois",69925,"$69,925"
1400000US17031150402,17031150402,"Census Tract 1504.02, Cook County, Illinois",88320,"$88,320"
1400000US17031150501,17031150501,"Census Tract 1505.01, Cook County, Illinois",114375,"$114,375"
1400000US17031150502,17031150502,"Census Tract 1505.02, Cook County, Illinois",68997,"$68,997"
1400000US17031150600,17031150600,"Census Tract 1506, Cook County, Illinois",85570,"$85,570"
1400000US17031150700,17031150700,"Census Tract 1507, Cook County, Illinois",89554,"$89,554"
1400000US17031150800,17031150800,"Census Tract 1508, Cook County, Illinois",81164,"$81,164"
1400000US17031151001,17031151001,"Census Tract 1510.01, Cook County, Illinois",85670,"$85,670"
1400000US17031151002,17031151002,"Census Tract 1510.02, Cook County, Illinois",68906,"$68,906"
1400000US17031151100,17031151100,"Census Tract 1511, Cook County, Illinois",69875,"$69,875"
1400000US17031151200,17031151200,"Census Tract 1512, Cook County, Illinois",80907,"$80,907"
1400000US17031160100,17031160100,"Census Tract 1601, Cook County, Illinois",88625,"$88,625"
1400000US17031160200,17031160200,"Census Tract 1602, Cook County, Illinois",113482,"$113,482"
1400000US17031160300,17031160300,"Census Tract 1603, Cook County, Illinois",74125,"$74,125"
1400000US17031160400,17031160400,"Census Tract 1604, Cook County, Illinois",70764,"$70,764"
1400000US17031160501,17031160501,"Census Tract 1605.01, Cook County, Illinois",75563,"$75,563"
1400000US17031160502,17031160502,"Census Tract 1605.02, Cook County, Illinois",82742,"$82,742"
1400000US17031160601,17031160601,"Census Tract 1606.01, Cook County, Illinois",73796,"$73,796"
1400000US17031160602,17031160602,"Census Tract 1606.02, Cook County, Illinois",78250,"$78,250"
1400000US17031160700,17031160700,"Census Tract 1607, Cook County, Illinois",76469,"$76,469"
1400000US17031160800,17031160800,"Census Tract 1608, Cook County, Illinois",75088,"$75,088"
1400000US17031160900,17031160900,"Census Tract 1609, Cook County, Illinois",91615,"$91,615"
1400000US17031161000,17031161000,"Census Tract 1610, Cook County, Illinois",95144,"$95,144"
1400000US17031161100,17031161100,"Census Tract 1611, Cook County, Illinois",137750,"$137,750"
1400000US17031161200,17031161200,"Census Tract 1612, Cook County, Illinois",62833,"$62,833"
1400000US17031161300,17031161300,"Census Tract 1613, Cook County, Illinois",49460,"$49,460"
1400000US17031170100,17031170100,"Census Tract 1701, Cook County, Illinois",48438,"$48,438"
1400000US17031170200,17031170200,"Census Tract 1702, Cook County, Illinois",80550,"$80,550"
1400000US17031170300,17031170300,"Census Tract 1703, Cook County, Illinois",78913,"$78,913"
1400000US17031170400,17031170400,"Census Tract 1704, Cook County, Illinois",85066,"$85,066"
1400000US17031170500,17031170500,"Census Tract 1705, Cook County, Illinois",91713,"$91,713"
1400000US17031170600,17031170600,"Census Tract 1706, Cook County, Illinois",70925,"$70,925"
1400000US17031170700,17031170700,"Census Tract 1707, Cook County, Illinois",75854,"$75,854"
1400000US17031170800,17031170800,"Census Tract 1708, Cook County, Illinois",62165,"$62,165"
1400000US17031170900,17031170900,"Census Tract 1709, Cook County, Illinois",74706,"$74,706"
1400000US17031171000,17031171000,"Census Tract 1710, Cook County, Illinois",80034,"$80,034"
1400000US17031171100,17031171100,"Census Tract 1711, Cook County, Illinois",84777,"$84,777"
1400000US17031180100,17031180100,"Census Tract 1801, Cook County, Illinois",61368,"$61,368"
1400000US17031190100,17031190100,"Census Tract 1901, Cook County, Illinois",48352,"$48,352"
1400000US17031190200,17031190200,"Census Tract 1902, Cook County, Illinois",72667,"$72,667"
1400000US17031190300,17031190300,"Census Tract 1903, Cook County, Illinois",73444,"$73,444"
1400000US17031190401,17031190401,"Census Tract 1904.01, Cook County, Illinois",77063,"$77,063"
1400000US17031190402,17031190402,"Census Tract 1904.02, Cook County, Illinois",52115,"$52,115"
1400000US17031190601,17031190601,"Census Tract 1906.01, Cook County, Illinois",63589,"$63,589"
1400000US17031190602,17031190602,"Census Tract 1906.02, Cook County, Illinois",56689,"$56,689"
1400000US17031190701,17031190701,"Census Tract 1907.01, Cook County, Illinois",59000,"$59,000"
1400000US17031190702,17031190702,"Census Tract 1907.02, Cook County, Illinois",49125,"$49,125"
1400000US17031190800,17031190800,"Census Tract 1908, Cook County, Illinois",54617,"$54,617"
1400000US17031190900,17031190900,"Census Tract 1909, Cook County, Illinois",64242,"$64,242"
1400000US17031191000,17031191000,"Census Tract 1910, Cook County, Illinois",59000,"$59,000"
1400000US17031191100,17031191100,"Census Tract 1911, Cook County, Illinois",55907,"$55,907"
1400000US17031191200,17031191200,"Census Tract 1912, Cook County, Illinois",54938,"$54,938"
1400000US17031191301,17031191301,"Census Tract 1913.01, Cook County, Illinois",57981,"$57,981"
1400000US17031191302,17031191302,"Census Tract 1913.02, Cook County, Illinois",67572,"$67,572"
1400000US17031200100,17031200100,"Census Tract 2001, Cook County, Illinois",63523,"$63,523"
1400000US17031200200,17031200200,"Census Tract 2002, Cook County, Illinois",61319,"$61,319"
1400000US17031200300,17031200300,"Census Tract 2003, Cook County, Illinois",56125,"$56,125"
1400000US17031200401,17031200401,"Census Tract 2004.01, Cook County, Illinois",64559,"$64,559"
1400000US17031200402,17031200402,"Census Tract 2004.02, Cook County, Illinois",68872,"$68,872"
1400000US17031210100,17031210100,"Census Tract 2101, Cook County, Illinois",94781,"$94,781"
1400000US17031210400,17031210400,"Census Tract 2104, Cook County, Illinois",55455,"$55,455"
1400000US17031210501,17031210501,"Census Tract 2105.01, Cook County, Illinois",54481,"$54,481"
1400000US17031210502,17031210502,"Census Tract 2105.02, Cook County, Illinois",65968,"$65,968"
1400000US17031210601,17031210601,"Census Tract 2106.01, Cook County, Illinois",85545,"$85,545"
1400000US17031210602,17031210602,"Census Tract 2106.02, Cook County, Illinois",94605,"$94,605"
1400000US17031210700,17031210700,"Census Tract 2107, Cook County, Illinois",77442,"$77,442"
1400000US17031210800,17031210800,"Census Tract 2108, Cook County, Illinois",67308,"$67,308"
1400000US17031210900,17031210900,"Census Tract 2109, Cook County, Illinois",95975,"$95,975"
1400000US17031220300,17031220300,"Census Tract 2203, Cook County, Illinois",96641,"$96,641"
1400000US17031220400,17031220400,"Census Tract 2204, Cook County, Illinois",95962,"$95,962"
1400000US17031220500,17031220500,"Census Tract 2205, Cook County, Illinois",86953,"$86,953"
1400000US17031220601,17031220601,"Census Tract 2206.01, Cook County, Illinois",113063,"$113,063"
1400000US17031220602,17031220602,"Census Tract 2206.02, Cook County, Illinois",61159,"$61,159"
1400000US17031220701,17031220701,"Census Tract 2207.01, Cook County, Illinois",70022,"$70,022"
1400000US17031220702,17031220702,"Census Tract 2207.02, Cook County, Illinois",71174,"$71,174"
1400000US17031220901,17031220901,"Census Tract 2209.01, Cook County, Illinois",74167,"$74,167"
1400000US17031220902,17031220902,"Census Tract 2209.02, Cook County, Illinois",69167,"$69,167"
1400000US17031221000,17031221000,"Census Tract 2210, Cook County, Illinois",82813,"$82,813"
1400000US17031221100,17031221100,"Census Tract 2211, Cook County, Illinois",78073,"$78,073"
1400000US17031221200,17031221200,"Census Tract 2212, Cook County, Illinois",124450,"$124,450"
1400000US17031221300,17031221300,"Census Tract 2213, Cook County, Illinois",69643,"$69,643"
1400000US17031221400,17031221400,"Census Tract 2214, Cook County, Illinois",97404,"$97,404"
1400000US17031221500,17031221500,"Census Tract 2215, Cook County, Illinois",62952,"$62,952"
1400000US17031221600,17031221600,"Census Tract 2216, Cook County, Illinois",143750,"$143,750"
1400000US17031222200,17031222200,"Census Tract 2222, Cook County, Illinois",167188,"$167,188"
1400000US17031222500,17031222500,"Census Tract 2225, Cook County, Illinois",103125,"$103,125"
