item,date,p_mean,p_75,p_median,p_25,iqr,ratio
Top 10 Fiction paperpack,2017-09-01,6.565714,7.99,7.99,4,3.99,1.9975
Home office desk,2017-10-01,329.8082,462,259.55,89.99,372.01,5.133903767
Top 10 Fiction paperpack,2017-10-01,6.569384,7.99,7.99,4,3.99,1.9975
Home office desk,2017-11-01,341.7904,498.69,235.625,89.99,408.7,5.541615735
Top 10 Fiction paperpack,2017-11-01,6.890592,7.99,7.99,4,3.99,1.9975
Home office desk,2017-12-01,339.1732,480,195.5,54.99,425.01,8.728859793
Top 10 Fiction paperpack,2017-12-01,6.555359,7.99,7.99,4,3.99,1.9975
Home office desk,2018-01-01,345.187,599,249.99,60,539,9.983333333
Top 10 Fiction paperpack,2018-01-01,6.749405,7.99,7.99,4,3.99,1.9975
Home office desk,2018-02-01,345.7176,599,245,94.99,504.01,6.30592694
Televsion 40' or greater,2018-02-01,472.6917,549,419,329,220,1.668693009
Top 10 Fiction paperpack,2018-02-01,6.560874,7.99,7.99,4,3.99,1.9975
Home office desk,2018-03-01,366.8772,599,297,94.99,504.01,6.30592694
Televsion 40' or greater,2018-03-01,473.7825,524.375,399.495,329,195.375,1.593844985
Top 10 Fiction paperpack,2018-03-01,6.591771,7.99,7.99,4,3.99,1.9975
Home office desk,2018-04-01,355.1999,599,290,94.99,504.01,6.30592694
Televsion 40' or greater,2018-04-01,460.1573,499,399,309,190,1.614886731
Top 10 Fiction paperpack,2018-04-01,6.92,8.99,7.99,4,4.99,2.2475
Home office desk,2018-05-01,350.702,598.47,264,94.99,503.48,6.300347405
Televsion 40' or greater,2018-05-01,455.9237,479,379,329,150,1.455927052
Top 10 Fiction paperpack,2018-05-01,6.987128,8.99,7.99,4,4.99,2.2475
Home office desk,2018-06-01,354.6821,549,285,94.99,454.01,5.779555743
Televsion 40' or greater,2018-06-01,449.8288,449.89,389,299,150.89,1.504648829
Top 10 Fiction paperpack,2018-06-01,7.059792,8.99,7.99,4,4.99,2.2475
Home office desk,2018-07-01,330.7735,499,256.5,94.99,404.01,5.253184546
Televsion 40' or greater,2018-07-01,463.8424,479,350,279,200,1.716845878
Top 10 Fiction paperpack,2018-07-01,6.857933,8.99,7.99,4,4.99,2.2475
Home office desk,2018-08-01,346.7438,564.5,295,89.99,474.51,6.272919213
Televsion 40' or greater,2018-08-01,508.2021,570,399,299,271,1.906354515
Top 10 Fiction paperpack,2018-08-01,7.15821,8.99,8.99,4,4.99,2.2475
Home office desk,2018-09-01,347.5488,549,285,89.99,459.01,6.100677853
Televsion 40' or greater,2018-09-01,463.0503,469,399,329.99,139.01,1.42125519
Top 10 Fiction paperpack,2018-09-01,7.01975,8.99,7.99,4,4.99,2.2475
Home office desk,2018-10-01,352.9522,599,274.05,89.995,509.005,6.655925329
Televsion 40' or greater,2018-10-01,467.614,489,399,309.42,179.58,1.580376188
Top 10 Fiction paperpack,2018-10-01,7.093547,8.99,7.99,4.5,4.49,1.997777778
Home office desk,2018-11-01,357.6628,599,279.495,89.99,509.01,6.656295144
Televsion 40' or greater,2018-11-01,439.9684,510.25,369,279.99,230.26,1.822386514
Top 10 Fiction paperpack,2018-11-01,7.242343,8.99,8.99,4,4.99,2.2475
Home office desk,2018-12-01,362.804,599,299,89.99,509.01,6.656295144
Televsion 40' or greater,2018-12-01,453.3035,523.75,369,299.99,223.76,1.74589153
Top 10 Fiction paperpack,2018-12-01,7.127931,8.99,8.99,4,4.99,2.2475
Home office desk,2019-01-01,344.344,549,279.65,90,459,6.1
Televsion 40' or greater,2019-01-01,432.3242,499,349,279.99,219.01,1.782206507
Top 10 Fiction paperpack,2019-01-01,7.234583,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-02-01,364.2266,599,299,99.99,499.01,5.99059906
Televsion 40' or greater,2019-02-01,445.6352,499,349,319,180,1.564263323
Top 10 Fiction paperpack,2019-02-01,7.243668,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-03-01,374.9019,599,299,110,489,5.445454545
Televsion 40' or greater,2019-03-01,428.3426,469.99,349,279,190.99,1.684551971
Top 10 Fiction paperpack,2019-03-01,7.217871,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-04-01,362.3161,599,299,94.5,504.5,6.338624339
Televsion 40' or greater,2019-04-01,411.7588,464,328,269,195,1.724907063
Top 10 Fiction paperpack,2019-04-01,7.175561,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-05-01,360.8073,599,299,90,509,6.655555556
Televsion 40' or greater,2019-05-01,404.2637,429,299,274.495,154.505,1.562869998
Top 10 Fiction paperpack,2019-05-01,7.203096,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-06-01,383.0023,599,299,90,509,6.655555556
Televsion 40' or greater,2019-06-01,482.1514,523.775,319,269,254.775,1.947118959
Top 10 Fiction paperpack,2019-06-01,7.100256,8.99,7.99,4.5,4.49,1.997777778
Home office desk,2019-07-01,348.9489,599,274,90,509,6.655555556
Televsion 40' or greater,2019-07-01,471.4777,523.8,309,269,254.8,1.947211896
Top 10 Fiction paperpack,2019-07-01,7.177918,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-08-01,347.8964,599,279,90,509,6.655555556
Televsion 40' or greater,2019-08-01,519.5977,679,359,289.93,389.07,2.341944607
Top 10 Fiction paperpack,2019-08-01,7.004878,8.99,7.99,4.5,4.49,1.997777778
Home office desk,2019-09-01,356.1691,599,299,90,509,6.655555556
Televsion 40' or greater,2019-09-01,508.2953,669,399,299,370,2.237458194
Top 10 Fiction paperpack,2019-09-01,7.119442,8.99,7.99,4.5,4.49,1.997777778
Home office desk,2019-10-01,351.893,599,299,90,509,6.655555556
Televsion 40' or greater,2019-10-01,517.2158,599,399,299.99,299.01,1.996733224
Top 10 Fiction paperpack,2019-10-01,6.952513,7.99,7.99,4.5,3.49,1.775555556
Home office desk,2019-11-01,373.1158,599,299,90,509,6.655555556
Televsion 40' or greater,2019-11-01,517.2848,599,399.99,299,300,2.003344482
Top 10 Fiction paperpack,2019-11-01,7.282762,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2019-12-01,385.925,599,299,90,509,6.655555556
Televsion 40' or greater,2019-12-01,539.3381,599,408.99,319,280,1.877742947
Top 10 Fiction paperpack,2019-12-01,7.217842,8.99,8.99,4.5,4.49,1.997777778
Home office desk,2020-01-01,361.8526,599,299,89,510,6.730337079
Televsion 40' or greater,2020-01-01,482.3172,548,379,299,249,1.83277592
Top 10 Fiction paperpack,2020-01-01,7.396461,8.99,8.99,4.5,4.49,1.997777778
Computer Game 3,2020-02-01,41.3931,49.99,49,34.99,15,1.428693913
Home office desk,2020-02-01,390.093,599,299,115,484,5.208695652
Televsion 40' or greater,2020-02-01,505.043,548.42,399,294.5,253.92,1.862207131
Top 10 Fiction paperpack,2020-02-01,7.169663,8.99,7.99,4.5,4.49,1.997777778
Computer Game 3,2020-03-01,38.12482,49.99,49,24,25.99,2.082916667
Home office desk,2020-03-01,400.3927,599,299,110,489,5.445454545
Televsion 40' or greater,2020-03-01,497.76,529.99,379,299.99,230,1.766692223
Top 10 Fiction paperpack,2020-03-01,7.279537,8.99,8.99,4.5,4.49,1.997777778
Computer Game 3,2020-04-01,32.28571,49,24,24,25,2.041666667
Home office desk,2020-04-01,289.9325,429.99,250,89,340.99,4.831348315
Televsion 40' or greater,2020-04-01,499.1208,549,399,295.5,253.5,1.85786802
Top 10 Fiction paperpack,2020-04-01,6.337427,6.99,6.49,4.5,2.49,1.553333333
Computer Game 3,2020-05-01,34.72727,32,32,30,2,1.066666667
Home office desk,2020-05-01,304.2172,429.99,250,99.495,330.495,4.32172471
Televsion 40' or greater,2020-05-01,497.5198,549.99,379.99,299,250.99,1.839431438
Top 10 Fiction paperpack,2020-05-01,6.233454,7.49,5.99,4.5,2.99,1.664444444
Computer Game 3,2020-06-01,48.46471,50,49.99,49.99,0.01,1.00020004
Home office desk,2020-06-01,334.0954,432.49,274.5,80,352.49,5.406125
Televsion 40' or greater,2020-06-01,500.1238,574,349,290,284,1.979310345
Top 10 Fiction paperpack,2020-06-01,6.789615,7.99,6.99,4.5,3.49,1.775555556
Computer Game 3,2020-07-01,48.78708,50,49.99,49.99,0.01,1.00020004
Home office desk,2020-07-01,361.7678,589.5,299,99.99,489.51,5.895589559
Televsion 40' or greater,2020-07-01,585.1086,599,379,349.99,249.01,1.711477471
Top 10 Fiction paperpack,2020-07-01,5.857065,6.99,5.99,4.5,2.49,1.553333333
Computer Game 3,2020-08-01,40.6525,49.99,49,28.5,21.49,1.754035088
Home office desk,2020-08-01,339.6644,350,199,60,290,5.833333333
Televsion 40' or greater,2020-08-01,524.5715,599,379,299,300,2.003344482
Top 10 Fiction paperpack,2020-08-01,7.122229,8.99,7.99,4.5,4.49,1.997777778
Computer Game 3,2020-09-01,36.52625,49.99,45,17.99,32,2.778765981
Home office desk,2020-09-01,346.2325,399,135,60,339,6.65
Televsion 40' or greater,2020-09-01,479.3354,599,379,319,280,1.877742947
Top 10 Fiction paperpack,2020-09-01,7.030497,8.99,7.99,4.5,4.49,1.997777778
Computer Game 3,2020-10-01,38.1242,49.99,49,17.99,32,2.778765981
Home office desk,2020-10-01,339.3788,399,219,60,339,6.65
Televsion 40' or greater,2020-10-01,495.1462,599,436,349,250,1.716332378
Top 10 Fiction paperpack,2020-10-01,7.173316,8.99,8.99,4.5,4.49,1.997777778
Computer Game 3,2020-11-01,46.89476,49.99,49.99,49.99,0,1
Home office desk,2020-11-01,288.8107,350,230,60,290,5.833333333
Televsion 40' or greater,2020-11-01,488.3965,599,424.57,349,250,1.716332378
Top 10 Fiction paperpack,2020-11-01,6.22858,7.49,5.99,4.5,2.99,1.664444444
Computer Game 3,2020-12-01,44.50348,49.99,49.99,30,19.99,1.666333333
Home office desk,2020-12-01,324.3104,350,250,69.99,280.01,5.000714388
Televsion 40' or greater,2020-12-01,497.2776,549,429.99,329.99,219.01,1.663686778
Top 10 Fiction paperpack,2020-12-01,6.235843,7.37,6.29,5,2.37,1.474
Computer Game 3,2021-01-01,47.1824,50,49.99,49.95,0.05,1.001001001
Home office desk,2021-01-01,298.3505,350,239,60,290,5.833333333
