,date, value,moving_average
511,01/09/2013,4793.55,4500.015
512,01/10/2013,4997.63,4622.811666666667
513,01/11/2013,5184.48,4750.783333333333
514,01/12/2013,5333.51,4916.511666666666
515,01/01/2014,5224.24,5017.218333333333
516,01/02/2014,5462.7,5166.0183333333325
517,01/03/2014,5290.73,5248.881666666666
518,01/04/2014,5167.89,5277.258333333332
519,01/05/2014,5307.52,5297.765
520,01/06/2014,5505.82,5326.483333333334
521,01/07/2014,5462.21,5366.145
522,01/08/2014,5734.5,5411.445000000001
523,01/09/2014,5621.23,5466.528333333333
524,01/10/2014,5806.95,5573.038333333334
525,01/11/2014,6042.25,5695.493333333333
526,01/12/2014,6005.31,5778.741666666666
527,01/01/2015,5905.3,5852.59
528,01/02/2015,6293.76,5945.8
529,01/03/2015,6180.01,6038.93
530,01/04/2015,6216.31,6107.156666666667
531,01/05/2015,6347.68,6158.061666666667
532,01/06/2015,6223.61,6194.445
533,01/07/2015,6394.97,6276.056666666666
534,01/08/2015,5965.86,6221.406666666667
535,01/09/2015,5779.82,6154.708333333333
536,01/10/2015,6327.3,6173.206666666666
537,01/11/2015,6406.27,6182.971666666667
538,01/12/2015,6304.33,6196.425
539,01/01/2016,5799.74,6097.22
540,01/02/2016,5724.79,6057.041666666667
541,01/03/2016,6087.31,6108.29
542,01/04/2016,5940.55,6043.831666666666
543,01/05/2016,6130.63,5997.891666666666
544,01/06/2016,5980.7,5943.953333333334
545,01/07/2016,6385.55,6041.588333333333
546,01/08/2016,6443.54,6161.38
547,01/09/2016,6549.7,6238.445
548,01/10/2016,6393.01,6313.855
549,01/11/2016,6569.42,6386.986666666667
550,01/12/2016,6637.39,6496.435
551,01/01/2017,6883.73,6579.465
552,01/02/2017,7118.69,6691.990000000001
553,01/03/2017,7218.23,6803.411666666667
554,01/04/2017,7365.99,6965.575
555,01/05/2017,7537.4,7126.905
556,01/06/2017,7460.61,7264.108333333333
557,01/07/2017,7719.31,7403.371666666666
558,01/08/2017,7797.96,7516.583333333333
559,01/09/2017,7834.13,7619.233333333334
560,01/10/2017,8120.3,7744.951666666668
561,01/11/2017,8296.88,7871.531666666667
562,01/12/2017,8339.3,8017.98
563,01/01/2018,8901.19,8214.960000000001
564,01/02/2018,8698.52,8365.053333333335
565,01/03/2018,8426.68,8463.811666666666
566,01/04/2018,8394.73,8509.55
567,01/05/2018,8804.03,8594.074999999999
568,01/06/2018,8869.66,8682.468333333334
569,01/07/2018,9060.38,8709.0
570,01/08/2018,9577.37,8855.475
571,01/09/2018,9486.65,9032.136666666665
572,01/10/2018,8599.04,9066.188333333334
573,01/11/2018,8657.37,9041.745
574,01/12/2018,7862.81,8873.936666666666
575,01/01/2019,8614.3,8799.59
576,01/02/2019,8873.32,8682.248333333333
577,01/03/2019,9051.03,8609.644999999999
578,01/04/2019,9431.13,8748.326666666668
579,01/05/2019,8668.01,8750.1
580,01/06/2019,9303.25,8990.173333333332
581,01/07/2019,9483.48,9135.036666666667
582,01/08/2019,9236.94,9195.64
583,01/09/2019,9271.24,9232.341666666667
584,01/10/2019,9594.26,9259.529999999999
585,01/11/2019,10025.95,9485.853333333334
586,01/12/2019,10399.25,9668.52
587,01/01/2020,10560.18,9847.97
588,01/02/2020,9861.04,9951.986666666668
589,01/03/2020,8878.21,9886.481666666667
590,01/04/2020,10320.77,10007.566666666668
591,01/05/2020,11017.74,10172.865
592,01/06/2020,11617.87,10375.968333333332
593,01/07/2020,12346.32,10673.658333333333
594,01/08/2020,13482.9,11277.301666666666
595,01/09/2020,12775.63,11926.871666666666
596,01/10/2020,12471.95,12285.401666666667
597,01/11/2020,13955.36,12775.005
598,01/12/2020,14731.3,13293.910000000002
599,01/01/2021,14874.45,13715.265
600,01/02/2021,14933.74,13957.071666666669
601,01/03/2021,14889.48,14309.38
602,01/04/2021,15568.39,14825.453333333333
603,01/05/2021,15206.11,15033.911666666667
604,01/06/2021,15896.33,15228.083333333334
605,01/07/2021,16007.89,15416.99
